,Code,Title,Session,Details
150,ECO230Y1-Y,International Economic Institutions and Policy,LEC0101,"Activity Time
Room
1st Term
2nd Term
Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 12:00 — 14:00
Friday 14:00 — 15:00
RW 110
RW 110
RW 110
RW 110
Anjomshoa, M.
8 of 156 available Yes: 0 student
Enrolment Controls: Priority (P)"
151,ECO299Y1-Y,Research Opportunity Program,LEC0101,"Activity Time
Room
1st Term
2nd Term
Instructor(s) Space Availability Wait List Status / Notes
LEC0101
—
—
—
Halberstam, Y.
9999 of 9999 available No
Enrolment Controls: Enrol at Department (E)"
152,ECO299Y1-Y,Research Opportunity Program,LEC0201,"Activity Time
Room
1st Term
2nd Term
Instructor(s) Space Availability Wait List Status / Notes
LEC0201
—
—
—
Hall, J.
9998 of 9999 available No
Enrolment Controls: Enrol at Department (E)"
153,ECO306H1-S,American Economic History,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 12:00 — 15:00
SS 1072
Eli, S.
0 of 65 available Yes: 8 students
Enrolment Controls: Priority (P)"
154,ECO310H1-F,Empirical Industrial Organization,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 13:00
LM 158
Aguirregabiria, V.
83 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
155,ECO313H1-S,Environmental Economics and Policies,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Thursday 14:00 — 17:00
WI 1016
Anjomshoa, M.
0 of 156 available Yes: 28 students
Enrolment Controls: Priority (P)"
156,ECO314H1-F,Energy and the Environment,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 14:00 — 17:00
GI ---
Yatchew, A.
10 of 178 available Yes: 0 student
Enrolment Controls: Priority (P)"
157,ECO316H1-F,Applied Game Theory,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 17:00 — 20:00
BA 1130
Hoelzemann, J.
52 of 160 available Yes: 0 student
Enrolment Controls: Priority (P)"
158,ECO316H1-S,Applied Game Theory,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 17:00 — 20:00
BA 1160
Hoelzemann, J.
12 of 160 available Yes: 0 student
Enrolment Controls: Priority (P)"
159,ECO320H1-F,Economic Analysis of Law,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 11:00 — 13:00
Wednesday 13:00 — 15:00
EM 001
EM 001
Barber, R.
10 of 122 available Yes: 0 student
Enrolment Controls: Priority (P)"
160,ECO320H1-F,Economic Analysis of Law,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 11:00 — 13:00
Thursday 14:00 — 16:00
RW 110
RW 110
Barber, R.
13 of 122 available Yes: 0 student
Enrolment Controls: Priority (P)"
161,ECO320H1-S,Economic Analysis of Law,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 11:00 — 13:00
Wednesday 13:00 — 15:00
LM 162
LM 162
Barber, R.
0 of 120 available Yes: 12 students
Enrolment Controls: Priority (P)"
162,ECO320H1-S,Economic Analysis of Law,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 11:00 — 13:00
Thursday 14:00 — 16:00
WI 1016
LM 161
Barber, R.
0 of 120 available Yes: 2 students
Enrolment Controls: Priority (P)"
