,Code,Title,Session,Details
105,CSC300H1-F,Computers and Society,TUT5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5101
Wednesday 17:00 — 18:00
AB 114
—
4 of 30 available No For students in LEC0101 only."
106,CSC300H1-F,Computers and Society,TUT5102,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5102
Wednesday 17:00 — 18:00
BA 2135
—
3 of 30 available No For students in LEC0101 only."
107,CSC300H1-F,Computers and Society,TUT5103,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5103
Wednesday 17:00 — 18:00
BA 2139
—
14 of 30 available No For students in LEC0101 only."
108,CSC300H1-F,Computers and Society,TUT5201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5201
Wednesday 20:00 — 21:00
AB 114
—
1 of 30 available No For students in LEC5101 only."
109,CSC300H1-F,Computers and Society,TUT5202,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5202
Wednesday 20:00 — 21:00
KP 113
—
9 of 30 available No For students in LEC5101 only."
110,CSC300H1-F,Computers and Society,TUT5203,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
TUT5203
Wednesday 20:00 — 21:00
BA 1240
—
2 of 30 available No For students in LEC5101 only."
111,CSC300H1-S,Computers and Society,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 14:00 — 16:00
Friday 14:00 — 15:00
ES B149
ES B149
Zaleski, M.
0 of 90 available Yes: 27 students
Enrolment Controls: Priority (P)"
112,CSC300H1-S,Computers and Society,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Thursday 18:00 — 20:00
Thursday 20:00 — 21:00
BA 1180
BA 1180
Zaleski, M.
0 of 90 available Yes: 31 students
Enrolment Controls: Priority (P)"
113,CSC301H1-F,Introduction to Software Engineering,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 12:00 — 14:00
Tuesday 12:00 — 13:00
GB 244
GB 244
Davison, M.
2 of 90 available Yes: 0 student
Enrolment Controls: Priority (P)"
114,CSC301H1-F,Introduction to Software Engineering,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 20:00
Monday 20:00 — 21:00
BA 1180
BA 1180
Jorjani, D.
11 of 90 available Yes: 0 student
Enrolment Controls: Priority (P)"
115,CSC301H1-S,Introduction to Software Engineering,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Wednesday 12:00 — 14:00
Thursday 13:00 — 14:00
GB 220
GB 220
—
0 of 90 available Yes: 3 students
Enrolment Controls: Priority (P)"
116,CSC301H1-S,Introduction to Software Engineering,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 20:00
Monday 20:00 — 21:00
BA 1180
BA 1180
—
0 of 90 available Yes: 3 students
Enrolment Controls: Priority (P)"
117,CSC302H1-F,Engineering Large Software Systems,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 16:00 — 17:00
Wednesday 16:00 — 18:00
Friday 16:00 — 17:00
SS 1074
UC 161
UC 161
Zaleski, M.
1 of 40 available Yes: 0 student Room Change: October 1, 2019
Enrolment Controls: Priority (P)"
118,CSC302H1-S,Engineering Large Software Systems,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 16:00 — 17:00
Wednesday 16:00 — 18:00
Friday 16:00 — 17:00
HA 401
HA 401
HA 401
Zaleski, M.
0 of 40 available Yes: 24 students
Enrolment Controls: Priority (P)"
119,CSC303H1-S,Social and Information Networks,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
GB 248
GB 248
GB 248
Borodin, A.
0 of 90 available Yes: 23 students
Enrolment Controls: Priority (P)"
120,CSC304H1-F,Algorithmic Game Theory and Mechanism Design,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
GB 248
GB 248
GB 248
Shah, N.
14 of 100 available Yes: 0 student
Enrolment Controls: Priority (P)"
121,CSC309H1-F,Programming on the Web,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
AH 400
AH 400
AH 400
Kazakevich, M.
18 of 105 available Yes: 0 student
Enrolment Controls: Priority (P)"
122,CSC309H1-F,Programming on the Web,LEC0201,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0201
Monday 16:00 — 17:00
Wednesday 16:00 — 17:00
Friday 16:00 — 17:00
AH 400
AH 400
AH 400
Kazakevich, M.
22 of 125 available Yes: 0 student
Enrolment Controls: Priority (P)"
123,CSC309H1-F,Programming on the Web,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 15:00 — 16:00
Wednesday 15:00 — 16:00
Friday 15:00 — 16:00
AH 400
AH 400
AH 400
Kazakevich, M.
4 of 20 available Yes: 0 student Room Added: August 26, 2019
Enrolment Controls: Restricted (R1)"
124,CSC309H1-S,Programming on the Web,LEC0101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC0101
Monday 10:00 — 11:00
Wednesday 10:00 — 11:00
Friday 10:00 — 11:00
KP 108
KP 108
KP 108
—
0 of 110 available Yes: 10 students
Enrolment Controls: Priority (P)"
125,CSC309H1-S,Programming on the Web,LEC2001,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2001
Monday 10:00 — 11:00
Wednesday 10:00 — 11:00
Friday 10:00 — 11:00
KP 108
KP 108
KP 108
—
0 of 15 available Yes: 2 students
Enrolment Controls: Restricted (R1)"
126,CSC309H1-S,Programming on the Web,LEC2501,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC2501
Monday 18:00 — 20:00
Monday 20:00 — 21:00
BA 1190
BA 1190
—
0 of 5 available Yes: 3 students
Enrolment Controls: Restricted (R1)"
127,CSC309H1-S,Programming on the Web,LEC5101,"Activity Time Room Instructor(s) Space Availability Wait List Status / Notes
LEC5101
Monday 18:00 — 20:00
Monday 20:00 — 21:00
BA 1190
BA 1190
—
0 of 120 available Yes: 8 students
Enrolment Controls: Priority (P)"
